Competition ID,Competition,Sport,Opseg vremena,mean,percentile_20,percentile_40,percentile_60,percentile_80,percentile_90,percentile_95,percentile_99.9,start_hour,end_hour
1226,ATP Paris Dublovi,Tenis,"(20, 24]",4121.872510138683,143.47410954236986,786.0559616348669,3638.2523915112015,4234.021413078695,6229.097689828828,14878.348709468242,23354.61470871493,20,24
1455,ATP Ch. Cherbourg,Tenis,"(4, 8]",4119.294981596812,170.35503886640072,558.1931966654956,2124.7963402567802,7554.344082185682,9679.32980338484,12008.125189319895,32730.302704028127,4,8
5312,WTA Midland,Tenis,"(1, 2]",4118.265820203258,134.93498336076738,888.4046358071272,2150.288605140865,7003.996722945812,11138.413721492045,17277.808260654594,24300.720817010853,1,2
1143,Malezija Kup,Fudbal,"(3, 4]",4115.439035752363,191.6376397880912,1290.290154040605,2717.767935632749,8472.328383819255,9874.374089652507,10624.74715593359,22716.677835287806,3,4
2871,ATP Rotterdam Dublovi,Tenis,"(12, 16]",4111.875997008644,261.3827345885337,3454.799839314283,6144.001357421279,6521.927854972333,7369.559312320247,8196.036569523012,9005.984281581726,12,16
32,Rusija 2,Fudbal,"(4, 8]",4111.5208932594105,207.5828592829406,802.572471242398,2063.6666961374876,6989.789773314834,11574.688786089002,17440.564034963114,38107.11375089758,4,8
216,Nemacka 4 Jug-Zap,Fudbal,"(4, 8]",4109.308101522317,417.7422042353228,1038.2979719657899,2193.673603048175,6504.274444774077,9696.467061536874,16067.787922551044,64146.7561236776,4,8
5435,ATP Ch. Bendigo,Tenis,"(3, 4]",4109.18565351131,150.29863876160235,221.92731133289635,810.1410088688135,2806.956340562552,3966.6050336807966,17778.489194571077,58001.06141083965,3,4
4241,Poljska 1,Rukomet,"(1, 2]",4109.084733513102,196.96228097565472,717.0241518020631,2292.3757018238302,4342.314947056071,13556.139603093383,20049.10187803832,47634.53047818696,1,2
5290,ATP Ch. Brest-kval.,Tenis,"(0, 1]",4105.987205302485,118.02355505526066,386.86861193180084,1869.377888905257,9833.6877534464,11062.510423634201,13558.68751451619,16004.941063580549,0,1
5278,ATP Ch. Bogota-kval.,Tenis,"(1, 2]",4104.644762410495,87.58277088031173,231.44526391848922,575.17999047786,1790.447042254731,2231.5823095589876,20644.01613561064,38688.20128514134,1,2
3271,Paragvaj 2,Fudbal,"(3, 4]",4103.08840694547,29.224734738469127,428.77146124988815,2753.8669505451617,5404.41658343181,9967.80290134342,17146.03249894338,28889.028034873878,3,4
3431,ATP Santiago,Tenis,"(16, 20]",4103.0565192125205,24.416375428438204,591.8676007092004,2302.3855173617594,9795.176034519083,12034.21159248814,12431.27854739528,12820.40416320428,16,20
2035,Liga Sampiona,Odbojka,"(8, 12]",4100.494653893907,21.03656091168523,194.89211111199862,607.9283867485822,2792.667642091102,9758.608370860122,13450.48629050943,125719.05344766851,8,12
20,Skotska 3,Fudbal,"(4, 8]",4095.589125270156,727.6176290072501,1728.9708664339782,3306.656968536727,5676.200038772404,10247.771543828198,12095.810789479256,31358.112661188523,4,8
5468,(Z) Kup Azije 2022,Fudbal,"(3, 4]",4090.64936580745,55.81526882946491,458.3735700659454,2121.701137041822,10497.89787009269,12204.986936494708,12375.97058162298,12543.534553848689,3,4
1860,Nemacka 1,Rukomet,"(8, 12]",4089.2374440369963,191.52832900732756,639.1425651609898,2084.8652115911245,4675.588566303253,11892.458151168375,17544.352052186878,43917.35475367699,8,12
5210,ATP Ch. Columbus-kval.,Tenis,"(0, 1]",4088.2853052019263,328.3832288905978,2011.6840187810362,3866.6099782586098,6997.7515408732,8349.633256330713,10729.405386421793,16703.21097924761,0,1
1410,WTA Australian Open Dublovi,Tenis,"(4, 8]",4084.8294880816784,125.98613003194333,377.4472883493901,1039.2872768086472,3602.556741458923,10705.898588257563,18148.07099921511,67953.63634858145,4,8
2083,ATP Ch. Rio De Janeiro,Tenis,"(2, 3]",4084.790585430393,210.52197679132226,552.0986419394613,2108.6822860151233,4957.927367121058,10144.225372769355,13009.095612431309,39327.37352664838,2,3
4182,Srbija 1,Odbojka,"(2, 3]",4082.191855320653,234.23048104047774,925.2576995044947,2496.4965914569793,6501.246484339836,10636.155462469342,14230.632112106221,35234.97967749473,2,3
1876,Nemacka 2,Rukomet,"(0, 1]",4082.164845878027,315.9365585720539,800.827786229551,1486.8167546436189,4214.334595869484,7425.834007576792,13169.732840856885,102087.12306492549,0,1
160,Poljska 1,Fudbal,"(20, 24]",4080.5173897014643,240.90762763991955,520.0171223938466,1498.323826664685,4707.513412762435,9281.128945298155,22942.096222234228,76692.75174568647,20,24
2730,Kostarika 1 Apertura Play off,Fudbal,"(20, 24]",4080.2186280282212,143.96066635060313,604.8357657467725,3550.4132666260903,7319.71970579067,10362.8413301253,12417.793815696295,14431.647251555878,20,24
4340,Medjunarodni Mecevi,Borilacke Vestine,"(12, 16]",4079.7373373763266,4079.7373373763266,4079.7373373763266,4079.7373373763266,4079.7373373763266,4079.7373373763266,4079.7373373763266,4079.7373373763266,12,16
2085,Challenge Kup,Odbojka,"(1, 2]",4076.172781190985,282.6847201421857,867.11032143341,1520.2801220841702,4894.849419766368,8925.022586264462,16671.080050818902,44977.16203089115,1,2
3320,Davis Kup Finals Dublovi,Tenis,"(2, 3]",4075.4330589093265,73.62834959030151,142.43881794512274,828.4697386473415,3945.466529898705,11333.514786669555,18664.849100175015,25849.556727410403,2,3
2080,Indija Super liga,Fudbal,"(36, 48]",4070.862104772644,250.36433960342407,1302.6220781791808,2604.683559355616,5367.120549646308,12836.485197814307,17903.242579450292,32271.329709667105,36,48
77,Argentina 1,Fudbal,"(12, 16]",4070.721043167533,460.8181695922018,1123.8080898728224,1902.5173589058222,3898.9052645623688,7616.07277529428,14098.19537091873,127146.89858280505,12,16
4592,KSW,Borilacke Vestine,"(1, 2]",4068.4039716076677,280.7271635859013,556.5341576676368,1028.6064923717677,2149.74299761653,7277.607793870779,16544.35739846227,43064.81679155589,1,2
5421,Egipat 2/B,Fudbal,"(2, 3]",4068.3419511452116,259.8320857390762,860.1439482551068,3087.5250493444787,4808.6803511917615,5796.089690949009,6477.316905203549,82489.89332783053,2,3
4091,Rusija 3/1,Fudbal,"(1, 2]",4066.5578707320615,296.94386536724124,785.675599570945,1636.2998196706176,4312.444611112074,13435.648779092342,16016.592344196617,42981.7993226585,1,2
1916,Vijetnam 1,Fudbal,"(2, 3]",4064.985900634863,1703.044842620194,2534.111811505258,3393.847875809669,5986.524535858574,7716.0980148191475,8580.884754299432,9428.375758990116,2,3
13,Engleska 5 Konferencija,Fudbal,"(16, 20]",4064.6962316780496,813.6868179244921,1380.8403078913689,2586.396340095997,4698.819700979889,7539.158526249081,13598.807659958145,90153.13589028615,16,20
2820,Brazil Paraibano,Fudbal,"(1, 2]",4064.4995492689,613.8238094627858,2007.4520704750053,4748.685703648731,7136.599256022007,7366.628156204334,9495.349541625472,12028.177947937143,1,2
5304,Estonija 1 Play off,Fudbal,"(36, 48]",4064.366095151333,82.33014102561775,221.2098163833022,667.9729510962966,2119.153876270354,9797.833867363956,18670.035622088315,27364.793341718218,36,48
2509,Farska Ostrva Kup,Fudbal,"(3, 4]",4063.515566427647,1805.3553281888703,3133.283307973445,4839.124815755021,6290.751202841059,6953.010616210193,7284.140322894757,7608.647435445635,3,4
5307,ATP Ch. Charlottesville-kval.,Tenis,"(1, 2]",4062.220781022778,69.90377186238766,103.83479955792427,243.0040854588151,6029.472663685679,14633.482460953295,18390.540856597538,22072.458084328908,1,2
429,ATP Ch. Sao Paulo,Tenis,"(3, 4]",4061.472729324268,177.52976328134537,764.7609980292618,1770.3036385402083,2997.862480342388,9259.326597560084,20841.00194190629,38542.27091625809,3,4
3059,Norveska 4/4,Fudbal,"(1, 2]",4061.267274955503,438.0246229276061,866.6441383019089,1251.7380993183701,4250.232954557987,7022.345431879166,18060.54900265009,41204.958261348314,1,2
1210,Finska 1 Play out,Fudbal,"(4, 8]",4059.6702930134425,1178.7674927769751,2730.571694013253,3627.250881956376,6601.070800945425,10242.545903049722,10440.125718799041,10560.210988951547,4,8
169,Belgija Kup,Fudbal,"(24, 36]",4057.2521580084745,646.887758692354,881.3263528705836,1725.1275416243225,4976.153242463815,12868.219800460134,19132.07901738908,24401.847057424624,24,36
5412,ATP Ch. Maia 2,Tenis,"(2, 3]",4056.6426117773412,407.57170998790866,1203.4213697672935,3647.3103935748345,5891.224147987431,10269.92620777294,14456.50643921362,20537.230654911662,2,3
5346,Slovacka 2,Hokej,"(0, 1]",4054.656311231727,2924.0880601406097,3826.56000109151,4926.642496652901,5259.812798630446,5280.3187207055835,5290.571681743152,5300.619583559969,0,1
963,Kup Sudamericana,Fudbal,"(8, 12]",4053.8930325210094,4053.8930325210094,4053.8930325210094,4053.8930325210094,4053.8930325210094,4053.8930325210094,4053.8930325210094,4053.8930325210094,8,12
963,Kup Sudamericana,Fudbal,"(20, 24]",4053.25500510633,4053.25500510633,4053.25500510633,4053.25500510633,4053.25500510633,4053.25500510633,4053.25500510633,4053.25500510633,20,24
2016,Italija Kup,Odbojka,"(3, 4]",4053.188125642333,2586.8918434971865,3045.937240021095,4404.18436140111,5388.233477814987,5786.70853478039,5985.946063263092,6181.19884117614,3,4
2186,WTA St. Petersburg-kval.,Tenis,"(2, 3]",4050.703981390484,325.49345817789435,1912.7265802267939,2678.4553706869483,5035.247767401561,7854.463531596586,19858.10931532923,24341.42084847037,2,3
